city,street,endNode
"Boston, MA",NA,Airport Way
"Boston, MA",NA,Atlantic Ave
"Boston, MA",NA,Brighton Ave
"Boston, MA",NA,Exit 25: S Boston / Convention Ctr / D St
"Boston, MA",NA,Hyde Park Ave
"Boston, MA",NA,Perkins St
"Boston, MA",NA,Storrow Dr E
"Boston, MA",NA,to I-93 N / Concord NH
"Boston, MA",,Dorchester Ave
"Boston, MA",,Jamaicaway
"Boston, MA",,Lewis St
"Boston, MA",,Massachusetts Ave
"Boston, MA",,Soldiers Field Rd
"Boston, MA",,Terminal A B C / Parking / Airport Exit
"Boston, MA",,W First St
"Boston, MA",A St,W 2nd St
"Boston, MA",Adams St,NA
"Boston, MA",Adams St,Forest St
"Boston, MA",Adams St,Sunset Ln
"Boston, MA",Adams St,Winter St
"Boston, MA",Ainsworth St,NA
"Boston, MA",Aldie St,NA
"Boston, MA",Algonquin St,NA
"Boston, MA",Alleyne St,NA
"Boston, MA",Allstate Rd,Massachusetts Ave
"Boston, MA",Allston St,Glenville Ave
"Boston, MA",Allston St,Hollis Pl
"Boston, MA",Almont St,Mattapan St
"Boston, MA",Annabel St,Sumner St
"Boston, MA",Arlington St,Herald St
"Boston, MA",Arlington St,Newbury St
"Boston, MA",Ashford St,Malvern St
"Boston, MA",Ashmont St,Adanac Ter
"Boston, MA",Athelwold St,Thane St
"Boston, MA",Atkins St,Justin Rd
"Boston, MA",Atlantic Ave,Pearl St
"Boston, MA",B St,Dorchester Ave
"Boston, MA",B St,Flaherty Way
"Boston, MA",Babe Ruth Park Dr,Columbia Rd
"Boston, MA",Babe Ruth Park Dr,William J Day Blvd
"Boston, MA",Back St,Deerfield St
"Boston, MA",Ball St,Washington St
"Boston, MA",Beacon St,Gloucester St
"Boston, MA",Beacon St,Tremont St
"Boston, MA",Beech St,Havana St
"Boston, MA",Beech St,New Park Ave
"Boston, MA",Beechcroft St,NA
"Boston, MA",Belgrade Ave,NA
"Boston, MA",Belgrade Ave,Anawan Ave
"Boston, MA",Belgrade Ave,Corinth St
"Boston, MA",Belgrade Ave,Robert St
"Boston, MA",Bellevue St,Hamilton St
"Boston, MA",Bellevue St,Linnet St
"Boston, MA",Belton St,Marsh St
"Boston, MA",Bennington St,London St
"Boston, MA",Bentley St,Sparhawk St
"Boston, MA",Berkeley St,to Storrow Dr W
"Boston, MA",Birch St,Durnell Ave
"Boston, MA",Blue Hill Ave,Balsam St
"Boston, MA",Blue Hill Ave,Devon St
"Boston, MA",Blue Hill Ave,Gaston St
"Boston, MA",Blue Hill Ave,Irwin Ave
"Boston, MA",Blue Hill Ave,Woodbine St
"Boston, MA",Blue Hill Ave,Woolson St
"Boston, MA",Bolton St,E St
"Boston, MA",Bond St,Milford St
"Boston, MA",Boston St,St. Margaret St
"Boston, MA",Boston University Br,Commonwealth Ave
"Boston, MA",Bourne St,NA
"Boston, MA",Bourne St,Patten St
